goos: darwin
goarch: arm64
pkg: github.com/axonops/fuzzymatch
cpu: Apple M2
BenchmarkDamerauLevenshteinOSAScore_Unicode_Short-8                	12480904	        96.70 ns/op	     144 B/op	       3 allocs/op
BenchmarkDamerauLevenshteinOSAScore_Unicode_Short-8                	12448191	        96.64 ns/op	     144 B/op	       3 allocs/op
BenchmarkDamerauLevenshteinOSAScore_Unicode_Short-8                	12444232	        96.36 ns/op	     144 B/op	       3 allocs/op
BenchmarkDamerauLevenshteinOSAScore_Unicode_Short-8                	12339151	        96.38 ns/op	     144 B/op	       3 allocs/op
BenchmarkDamerauLevenshteinOSAScore_Unicode_Short-8                	12289934	        96.65 ns/op	     144 B/op	       3 allocs/op
BenchmarkDamerauLevenshteinOSAScore_Unicode_Short-8                	12422778	        96.57 ns/op	     144 B/op	       3 allocs/op
BenchmarkDamerauLevenshteinOSAScore_Unicode_Short-8                	12474670	        96.41 ns/op	     144 B/op	       3 allocs/op
BenchmarkDamerauLevenshteinOSAScore_Unicode_Short-8                	12413942	        96.52 ns/op	     144 B/op	       3 allocs/op
BenchmarkDamerauLevenshteinOSAScore_Unicode_Short-8                	12450920	        96.54 ns/op	     144 B/op	       3 allocs/op
BenchmarkDamerauLevenshteinOSAScore_Unicode_Short-8                	12454021	        96.47 ns/op	     144 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Short-8                         	12272652	        98.36 ns/op	      16 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Short-8                         	12292504	        98.18 ns/op	      16 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Short-8                         	12254666	        98.24 ns/op	      16 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Short-8                         	12121767	        98.21 ns/op	      16 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Short-8                         	12180823	        98.28 ns/op	      16 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Short-8                         	12173980	        98.38 ns/op	      16 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Short-8                         	12315644	        98.40 ns/op	      16 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Short-8                         	12255526	        98.20 ns/op	      16 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Short-8                         	12126397	        98.32 ns/op	      16 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Short-8                         	12227923	        98.29 ns/op	      16 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Medium-8                        	11267785	       107.3 ns/op	      21 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Medium-8                        	11224318	       107.2 ns/op	      21 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Medium-8                        	11178452	       107.3 ns/op	      21 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Medium-8                        	11099877	       107.1 ns/op	      21 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Medium-8                        	11225356	       112.1 ns/op	      21 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Medium-8                        	11147478	       107.3 ns/op	      21 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Medium-8                        	11144410	       107.3 ns/op	      21 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Medium-8                        	11227215	       108.3 ns/op	      21 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Medium-8                        	11098988	       107.2 ns/op	      21 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Medium-8                        	11198812	       107.5 ns/op	      21 B/op	       3 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Long-8                          	 7666675	       156.5 ns/op	     104 B/op	       4 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Long-8                          	 7646358	       157.2 ns/op	     104 B/op	       4 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Long-8                          	 7640673	       156.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Long-8                          	 7683585	       156.7 ns/op	     104 B/op	       4 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Long-8                          	 7656238	       156.4 ns/op	     104 B/op	       4 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Long-8                          	 7662004	       156.6 ns/op	     104 B/op	       4 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Long-8                          	 7688822	       156.7 ns/op	     104 B/op	       4 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Long-8                          	 7670473	       157.2 ns/op	     104 B/op	       4 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Long-8                          	 7682593	       156.4 ns/op	     104 B/op	       4 allocs/op
BenchmarkDoubleMetaphoneKeys_ASCII_Long-8                          	 7596099	       156.7 ns/op	     104 B/op	       4 allocs/op
BenchmarkDoubleMetaphoneScore_ASCII_Short-8                        	 6074694	       198.3 ns/op	      32 B/op	       6 allocs/op
BenchmarkDoubleMetaphoneScore_ASCII_Short-8                        	 6065695	       198.0 ns/op	      32 B/op	       6 allocs/op
BenchmarkDoubleMetaphoneScore_ASCII_Short-8                        	 6037129	       198.6 ns/op	      32 B/op	       6 allocs/op
BenchmarkDoubleMetaphoneScore_ASCII_Short-8                        	 6072404	       198.6 ns/op	      32 B/op	       6 allocs/op
BenchmarkDoubleMetaphoneScore_ASCII_Short-8                        	 6075781	       198.2 ns/op	      32 B/op	       6 allocs/op
BenchmarkDoubleMetaphoneScore_ASCII_Short-8                        	 6091081	       198.3 ns/op	      32 B/op	       6 allocs/op
BenchmarkDoubleMetaphoneScore_ASCII_Short-8                        	 6054402	       198.3 ns/op	      32 B/op	       6 allocs/op
BenchmarkDoubleMetaphoneScore_ASCII_Short-8                        	 6029466	       198.1 ns/op	      32 B/op	       6 allocs/op
BenchmarkDoubleMetaphoneScore_ASCII_Short-8                        	 6026377	       198.1 ns/op	      32 B/op	       6 allocs/op
BenchmarkDoubleMetaphoneScore_ASCII_Short-8                        	 6063794	       198.7 ns/op	      32 B/op	       6 allocs/op
BenchmarkDoubleMetaphoneScore_Identity-8                           	500392843	         2.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoubleMetaphoneScore_Identity-8                           	500627696	         2.409 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoubleMetaphoneScore_Identity-8                           	498087722	         2.404 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoubleMetaphoneScore_Identity-8                           	500531900	         2.401 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoubleMetaphoneScore_Identity-8                           	497334168	         2.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoubleMetaphoneScore_Identity-8                           	499015915	         2.402 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoubleMetaphoneScore_Identity-8                           	497477547	         2.403 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoubleMetaphoneScore_Identity-8                           	501166516	         2.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoubleMetaphoneScore_Identity-8                           	498734373	         2.407 ns/op	       0 B/op	       0 allocs/op
BenchmarkDoubleMetaphoneScore_Identity-8                           	500378235	         2.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Short-8                                	198869481	         6.010 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Short-8                                	199031958	         6.026 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Short-8                                	199540958	         6.028 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Short-8                                	198639675	         6.011 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Short-8                                	199213218	         6.023 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Short-8                                	199737566	         6.018 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Short-8                                	199595250	         6.017 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Short-8                                	200150042	         6.014 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Short-8                                	198235292	         6.026 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Short-8                                	198599377	         6.023 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Medium-8                               	63817905	        18.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Medium-8                               	59524178	        18.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Medium-8                               	62568978	        18.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Medium-8                               	63131727	        18.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Medium-8                               	63554830	        18.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Medium-8                               	62627344	        18.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Medium-8                               	63207379	        18.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Medium-8                               	63388233	        18.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Medium-8                               	63458349	        18.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkHammingScore_ASCII_Medium-8                               	63436544	        18.82 ns/op	       0 B/op	       0 allocs/op
